,DRUG,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,DAY,NIGHT,MIND,STOOL,SENSATION,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,DISEASE,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES
87,CalcareaAcetic,WithColdnessSourTaste,,,,,,,,,inOpenair,,tasteSenses,,,,,,,,,,,,sensesObscureWhileReading,,sensesObscureWhileReading,,,,,,,,,,,,,,
88,CalcareaArsenica,WeeklyHeadacheBenumbheadache,,,,,,,,betterLyePainfullSide,violentRushBloodToHeadWithVertigo,,,,,,BenumbHeadacheMostAroundEars,,,,,,,,,,BenumbHeadacheMostlyAroundEar,,,,,,,,,,,,,,
89,CalcareaCarbonica,overLiftingMentlExertWithNausea,,,,,,,senseWeightTop,,OnAscendTurnHead,,,,,headFeeHotHeavyWithPaleFace,,headacheColdHandFeetIcyColdAndHandEspRtSide,,,,,,,,,openFontanellasHeadEnlargeMuchSweatPillow,,itchScratchHeadWake,,,,,,,,,,,,
90,CalcareaFlorica,CracklingNoiseHead,,,,,,,,,,,HeadScalpBloodTumor,,,,,bloodtumorNewinfantUlcerScalpCallousHardEdge,,,,,,,,,,,callusHardEdgeUlcerHardExcre,,,,,,,,,,,,
91,CalcareaIodata,RidingAgainstColdWind,,,,,,,,,,,noseEarPolyp,,CatarrahWorseRootSneezPolypNoseEar,,Polyp NoseAndEar,,,,,,,,,,,,,,,,,,,,,,,,
92,CalcareaPhosphorica,WithAbdominalFlatulence,,,,,,,,changWeather,,,AbdoFlatulenceSutureRegionPuberty,,,,defectiveHearing,nearSuturePubertyFontanelOpenCranialBoneSoft,,,,,,,,,,,headhotRootHairSmart,,,,,,,,,,,,
93,CalcareaSilicata,,,,,,,,,,headcoldEspVertex,,,,catarrahPostNaresThickYellowHardCrustDischarge,,,,,,CornealExudate,,,,,,,,,,,,,,,,,,,,
94,CalcareaSulphurica,,,,,,,,,,,,,,,,,ScaldHeadChildrenPurulentDischargeYellowCrust,,,,,,,,,,,,,,,,,,,,,,,
95,CalundulaOfficinalis,exteemNrvousTearing,,nervousFrightenedWeightOnBrain,,,,,,,,,brainGlandRtSideNeckNervous,,,,,subMaxilaryGlandSwellRtSideNeckPainTouch,,,,,,,,,,,,,,,,,,,,,,,
96,Camphora,,ThrobbSynchronusWithPulse,bBeatingPainInCerebellum,,,fleetStitchTempRegOrbit,,,,tendeUnconciousFeelasifHeWouldDie,,vertigoNoseTongueOccPulse,,coldPinchSeezInflue,,,coldSweat,,,fleetStitchTempRegionOrbits,,,,,,,,,,coldFlabbyTrembling,,,,,,,,,,
